Title,Release Year,Locations,Production Company,Director,Writer,Actor 1
A Jitney Elopement,1915,20th and Folsom Streets,The Essanay Film Manufacturing Company,Charles Chaplin,Charles Chaplin,Charles Chaplin
A Jitney Elopement,1915,Golden Gate Park,The Essanay Film Manufacturing Company,Charles Chaplin,Charles Chaplin,Charles Chaplin
Greed,1924,Cliff House (1090 Point Lobos Avenue),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts
Greed,1924,Bush and Sutter Streets,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts
Greed,1924,Hayes Street at Laguna,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts
The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),Warner Bros. Pictures,Alan Crosland,Alfred A. Cohn,Al Jolson
After the Thin Man,1936,Coit Tower,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell
San Francisco,1936,The Barbary Coast,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable
San Francisco,1936,City Hall,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power
Alexander's Ragtime Band,1938,San Francisco Bay,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power
Shadow of the Thin Man,1941,Bay Bridge,Metro-Goldwyn Mayer,W.S. Van Dyke,Harry Kurnitz,William Powell
The Maltese Falcon,1941,Golden Gate Bridge,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart
The Maltese Falcon,1941,Ferry Building,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart
The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart
Gentleman Jim,1942,The Barbary Coast,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn
Dark Passage,1947,Golden Gate Bridge,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart
Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart
Dark Passage,1947,"Filbert Steps, Filbert Street",Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart
Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan
The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Columbia Pictures Corp.,Orson Welles,Orson Welles,Rita Hayworth
The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),Columbia Pictures Corp.,Orson Welles,Orson Welles,Rita Hayworth
The Lady from Shanghai,1947,Golden Gate Park,Columbia Pictures Corp.,Orson Welles,Orson Welles,Rita Hayworth
The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),Columbia Pictures Corp.,Orson Welles,Orson Welles,Rita Hayworth
I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)",RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne
I Remember Mama,1948,The Ferry Building,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne
I Remember Mama,1948,Grant Avenue (North Beach),RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne
All About Eve,1950,Curran Theater (445 Geary Street),Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis
D.O.A,1950,Powell & California Streets,Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,The Embarcadero/ Ferry Building,Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Union Square,Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle),Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Market & Steuart Streets (Financial District),Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
D.O.A,1950,Market Street (from 6th- 4th Streets),Cardinal Pictures,Rudolph Mate,Russell Rouse,Edmond O'Brien
Woman on the Run,1950,Former Hall of Justice (750 Kearny Street at Washington),Fidelity Pictures Corporation,Norman Foster,Norman Foster,Ann Sheridan
Woman on the Run,1950,835-865 Market Street at 5th Street,Fidelity Pictures Corporation,Norman Foster,Norman Foster,Ann Sheridan
Woman on the Run,1950,819 Mason Street at Pine,Fidelity Pictures Corporation,Norman Foster,Norman Foster,Ann Sheridan
Woman on the Run,1950,772 Commercial Street at Kearney,Fidelity Pictures Corporation,Norman Foster,Norman Foster,Ann Sheridan
Woman on the Run,1950,1801 Laguna at Bush,Fidelity Pictures Corporation,Norman Foster,Norman Foster,Ann Sheridan
Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),Fidelity Pictures Corporation,Norman Foster,Norman Foster,Ann Sheridan
The House on Telegraph Hill,1951,Telegraph Hill,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart
The House on Telegraph Hill,1951,Market Street,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart
The House on Telegraph Hill,1951,Coit Tower,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart
The House on Telegraph Hill,1951,1227 Montgomery Street,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart
Sudden Fear,1952,Lombard Street,Joseph Kaufmann Pictures,David Miller,Lenore J. Coffee,Joan Crawford
Sudden Fear,1952,The Tamalpais Building (1201 Greenwich Street at Hyde),Joseph Kaufmann Pictures,David Miller,Lenore J. Coffee,Joan Crawford
Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),Joseph Kaufmann Pictures,David Miller,Lenore J. Coffee,Joan Crawford
Sudden Fear,1952,2800 Scott Street,Joseph Kaufmann Pictures,David Miller,Lenore J. Coffee,Joan Crawford
The Caine Mutiny,1954,The Embarcadero,Stanley Kramer Productions,Edward Dmytryk,Stanley Roberts,Humphrey Bogart
The Caine Mutiny,1954,Golden Gate Bridge,Stanley Kramer Productions,Edward Dmytryk,Stanley Roberts,Humphrey Bogart
It Came From Beneath the Sea,1955,Hunters Point,Clover Productions,Robert Gordon,George Worthing Yates,Kenneth Tobey
It Came From Beneath the Sea,1955,Chrissy Field,Clover Productions,Robert Gordon,George Worthing Yates,Kenneth Tobey
It Came From Beneath the Sea,1955,Golden Gate Bridge,Clover Productions,Robert Gordon,George Worthing Yates,Kenneth Tobey
The Ten Commandments,1956,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Paramount Pictures,Cecil B. DeMille,"Jesse L. Lasky, Jr.",Charlton Heston
Pal Joey,1957,"Spreckels Mansion (2080 Washington Street, Pacific Heights)",Columbia Pictures Corporation,George Sidney,Dorothy Kingsley,Rita Hayworth
Pal Joey,1957,Coit Tower,Columbia Pictures Corporation,George Sidney,Dorothy Kingsley,Rita Hayworth
Pal Joey,1957,Barbary Coast,Columbia Pictures Corporation,George Sidney,Dorothy Kingsley,Rita Hayworth
The Lineup,1958,War Memorial Opera House (401 Van Ness Avenue),Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
The Lineup,1958,The Embarcadero,Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
The Lineup,1958,Sutro Baths (Point Lobos Avenue),Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
The Lineup,1958,Pier 41,Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
The Lineup,1958,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
The Lineup,1958,2090 Jackson Street,Pajemer Productions,Don Siegel,Stirling Silliphant,Eli Wallach
Vertigo,1958,Palace of Fine Arts (3301 Lyon Street),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,York Hotel (940 Sutter Street),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,San Francisco Drydock (20th and Illinois Streets),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Park Hill Sanatorium (351 Buena Vista Avenue East),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Mission San Juan Bautista (2nd & Mariposa Streets),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,"Mission Dolores (3321 16th Street, Mission District)",Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Gough & Eddy Streets (Western Addition),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,"Fort Point (Presidio, Golden Gate National Recreation Area)",Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,"Fairmont Hotel (950 Mason Street, Nob Hill)",Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Ernie's Restaurant (847 Montgomery Street),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Conservatory of Flowers (Golden Gate Park),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Claude Lane at Bush Street,Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,Brocklebank Apartments (1000 Mason Street),Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,900 Lombard Street,Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Vertigo,1958,1007 Gough Street,Alfred J. Hitchcock Productions,Alfred Hitchcock,Alec Coppel,James Stewart
Midnight Lace,1960,"Fairmont Hotel (950 Mason Street, Nob Hill)",Arwin Productions,David Miller,Ivan Goff,Doris Day
Flower Drum Song,1961,Golden Gate Bridge,Fields Productions,Henry Koster,Joseph Fields,Nancy Kwan
Flower Drum Song,1961,Chinatown,Fields Productions,Henry Koster,Joseph Fields,Nancy Kwan
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Perlsea Company,George Seaton,Samuel A. Taylor,Fred Astaire
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),Perlsea Company,George Seaton,Samuel A. Taylor,Fred Astaire
Susan Slade,1961,"On Board the SS President Cleveland, docked at Pier 50",Warner Bros. Pictures,Delmer Daves,Delmer Daves,Troy Donahue
Swingin' Along,1961,Powell Street,Twentieth Century Fox Film Corporation,Charles Barton,Jameson Brewer,Tommy Noonan
Birdman of Alcatraz,1962,Alcatraz Island,Norma Productions,John Frankenheimer,Guy Trosper,Burt Lancaster
Birdman of Alcatraz,1962,Pier 43 1/2,Norma Productions,John Frankenheimer,Guy Trosper,Burt Lancaster
Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)",Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,Candlestick Park,Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,2632 Larkin Street at Lombard,Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,100 St. Germain Avenue,Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
Experiment in Terror,1962,1 Montgomery Street at Post,Columbia Pictures Corporation,Blake Edwards,The Gordons,Glenn Ford
The Birds,1963,Powell and Geary Streets (Union Square),Universal Pictures,Alfred Hitchcock,Evan Hunter,Tippi Hedren
Good NeighborSam,1964,Various locations in San Francisco during driving scene,Columbia Pictures Corporation,David Swift,James Fritzell,Jack Lemmon
Marnie,1964,"On Board the SS President Cleveland, docked at Pier 50",Universal Pictures,Alfred Hitchcock,Jay Presson Allen,Tippi Hedren
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,Columbia Pictures Corporation,Stanley Kramer,William Rose,Spencer Tracy
Guess Who's Coming to Dinner,1967,San Francisco International Airport,Columbia Pictures Corporation,Stanley Kramer,William Rose,Spencer Tracy
Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),Columbia Pictures Corporation,Stanley Kramer,William Rose,Spencer Tracy
Guess Who's Coming to Dinner,1967,634 Raycliff Terrace,Columbia Pictures Corporation,Stanley Kramer,William Rose,Spencer Tracy
Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)",Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin
Point Blank,1967,Alcatraz Island,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin
The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft
The Graduate,1967,Bay Bridge,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft
Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)","Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,McLaren Park (Visitacion  Valley),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Mark Hopkins Hotel (999 California Street),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Marina Green (Marina District),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Mansell & University Streets (Visitacion  Valley),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Larkin & Francisco Streets (Russian Hill),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Larkin & Chestnut Streets (Russian Hill),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Kennedy Hotel (226 Embarcadero at Howard Street),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,John Muir Drive (Lake Merced),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Intersection of York & Peralta (Bernal Heights),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Filbert & Taylor Streets (Russian Hill),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Enrico's Café (504 Broadway),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Columbus & Lombard Streets (North Beach),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Cesar Chavez & Mission Street (Mission),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,"Candlestick Park Exit, Highway 101","Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Café Cantata (2040 Union Street),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Brocklebank Apartments (1000 Mason Street),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,Bay Bridge,"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,2700 Vallejo Street (Pacific Heights),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,20th & Vermont Streets (Potrero Hill),"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Bullitt,1968,1153-57 Taylor Street,"Warner Brothers / Seven Arts
Seven Arts",Peter Yates,Alan R. Trustman,Steve McQueen
Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park",Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
Petulia,1968,Pier 43 1/2,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
Petulia,1968,Cala Foods (California Street and Hyde),Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
Petulia,1968,307 Filbert Street,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
Petulia,1968,2417 Franklin Street,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
Petulia,1968,"Fort Point (Presidio, Golden Gate National Recreation Area)",Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie
The Love Bug,1968,Golden Gate Bridge,Walt Disney Productions,Robert Stevenson,Bill Walsh,Dean Jones
The Love Bug,1968,100 Block of Lombard Street,Walt Disney Productions,Robert Stevenson,Bill Walsh,Dean Jones
Take the Money and Run,1969,Mission Street,American Broadcasting Company (ABC),Woody Allen,Woody Allen,Woody Allen
Take the Money and Run,1969,Golden Gate Park,American Broadcasting Company (ABC),Woody Allen,Woody Allen,Woody Allen
Take the Money and Run,1969,Bank of America (1455 Stockton Street),American Broadcasting Company (ABC),Woody Allen,Woody Allen,Woody Allen
Dirty Harry,1971,"Marina Green, Marina District",The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,"Washington Square, North Beach",The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,The Embarcadero,The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Portsmouth Square (Chinatown),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,"Mt. Davidson Cross, Mt. Davidson",The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Mission Dolores Park (Mission District),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,"Kezar Stadium, Golden Gate Park",The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Holiday Inn Select Downtown Hotel (750 Kearney Street),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Hall of Justice (850 Bryant Street),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Forest Hill Station- MUNI,The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Dante Building (1606 Stockton Street at Union),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Dirty Harry,1971,Bank of America Building (555 California Street),The Malpaso Company,Don Siegel,Harry Julian Fink,Clint Eastwood
Harold and Maude,1971,Conservatory of Flowers (Golden Gate Park),Mildred Lewis and Colin Higgins Productions,Hal Ashby,Colin Higgins,Ruth Gordon
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),Mildred Lewis and Colin Higgins Productions,Hal Ashby,Colin Higgins,Ruth Gordon
Harold and Maude,1971,Golden Gate Park,Mildred Lewis and Colin Higgins Productions,Hal Ashby,Colin Higgins,Ruth Gordon
"Play it Again, Sam",1972,Balboa at 22nd Avenue,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen
"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen
"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen
"Play it Again, Sam",1972,Hyde Street Cable Car,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen
"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen
"Play it Again, Sam",1972,15-17 Fresno Street,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen
The Candidate,1972,"Westin St. Francis Hotel (335 Powell Street, Union Square)",Redford-Ritchie Productions,Michael Ritchie,Jeremy Larner,Robert Redford
What's Up Doc?,1972,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
What's Up Doc?,1972,San Francisco Hilton (333 O'Farrell Street),Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
What's Up Doc?,1972,Lombard Street between Hyde and Leavenworth,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
What's Up Doc?,1972,Hyde Street Pier,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
What's Up Doc?,1972,Chinatown,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
What's Up Doc?,1972,Alta Plaza Park (Steiner Street),Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
What's Up Doc?,1972,22nd Avenue & Balboa Street (Richmond District),Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",Universal Pictures,George Lucas,George Lucas,Richard Dreyfuss
American Graffiti,1973,3355 Geary Blvd.,Universal Pictures,George Lucas,George Lucas,Richard Dreyfuss
Magnum Force,1973,Cost Plus World Market (2552 Taylor Street),The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,Vermont Street between 20th and 22nd Streets,The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,San Francisco International Airport,The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,San Francisco Drydock (20th and Illinois Streets),The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)",The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,Hall of Justice (850 Bryant Street),The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,Golden Gate Bridge,The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,"Fairmont Hotel (950 Mason Street, Nob Hill)",The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,Embarcadero Freeway,The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,City Hall,The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,Broadway Tunnel (Russian Hill),The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,280 Freeway at Pennsylvania and Mariposa Streets,The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,2190 Washington Street (Pacific Heights),The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Magnum Force,1973,18th Street Overpass (Potrero Hill),The Malpaso Company,Ted Post,John Milius,Clint Eastwood
Freebie and the Bean,1974,Alco Plaza,Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Twin Peaks,Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Potrero Hill,Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Nob Hill,Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Folsom Street (SOMA),Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)",Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Embarcadero Freeway,Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),Warner Bros. Pictures,Richard Rush,Robert Kaufman,Alan Arkin
